,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id,rxn_name_long,subsystem,ind_in_original_recon,rxn_EC_number,genes_associated_with_rxn,rxn_formula,rxn_confidence
C204CPT1_pos,33.0,0.015151515151515152,1.801402406012222,0.03587530451844748,C204CPT1,carnitine C20:4 transferase,Fatty acid oxidation,609,2.3.1.21,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * arachidonoyl-CoA(4-) [c] --> 1.00 * Coenzyme A [c] + 1.00 * C20:4 carnitine [c]
CPT1A; CPT1B; CPT1C",4.0
C226CPT1_pos,30.0,0.06493506493506493,1.5437909656755762,0.10654457717729711,C226CPT1,carnitine C22:6 transferase,Fatty acid oxidation,613,2.3.1.21,CPT1A; CPT1B; CPT1C,"1.00 * L-Carnitine [c] + 1.00 * cervonyl coenzyme A [c] --> 1.00 * Coenzyme A [c] + 1.00 * cervonyl carnitine [c]
CPT1A; CPT1B; CPT1C",4.0
CAT2p_pos,10.0,0.24025974025974026,-0.8874279917151714,0.29451048010370046,CAT2p,"catalase A, peroxisomal (ethanol)",Glycolysis/gluconeogenesis,628,1.11.1.6,CAT,"1.00 * Hydrogen peroxide [x] + 1.00 * ethanol [x] --> 1.00 * acetaldehyde [x] + 2.00 * Water [x]
CAT",2.0
CATm_pos,30.0,0.06493506493506493,1.4781018558545358,0.10654457717729711,CATm,catalase,ROS detoxification,630,1.11.1.6,CAT,"2.00 * Hydrogen peroxide [m] --> 1.00 * O2 [m] + 2.00 * Water [m]
CAT",4.0
CBPSam_pos,26.0,0.24025974025974026,0.9473237185468355,0.29451048010370046,CBPSam,carbamoyl-phosphate synthase (ammonia) (mitochondria,Glutamate metabolism,637,6.3.4.16,CPS1,"2.00 * ATP [m] + 1.00 * Bicarbonate [m] + 1.00 * Ammonium [m] --> 2.00 * proton [m] + 2.00 * ADP [m] + 1.00 * hydrogenphosphate [m] + 1.00 * Carbamoyl phosphate [m]
CPS1",4.0
CBR2_pos,13.0,0.48484848484848486,-0.6171773140382938,0.5426201492226251,CBR2,Carbonyl reductase [NADPH] 1,Eicosanoid metabolism,640,1.1.1.197,CBR1,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * prostaglandin E2(1-) [c] --> 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * prostaglandin F2alpha(1-) [c]
CBR1",4.0
CDIPTr_neg,21.0,0.6991341991341992,0.2666679922780757,0.7510586734055954,CDIPTr,phosphatidylinositol synthase (Homo sapiens),Glycerophospholipid metabolism,643,2.7.8.11,CDIPT,"1.00 * CDP-diacylglycerol(2-) [c] + 1.00 * myo-inositol [c] --> 1.00 * proton [c] + 1.00 * CMP [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol(1-) [c]
CDIPT",4.0
CDIPTr_pos,12.0,0.3939393939393939,-0.6833023588175859,0.4522313077868633,CDIPTr,phosphatidylinositol synthase (Homo sapiens),Glycerophospholipid metabolism,643,2.7.8.11,CDIPT,"1.00 * CDP-diacylglycerol(2-) [c] + 1.00 * myo-inositol [c] --> 1.00 * proton [c] + 1.00 * CMP [c] + 1.00 * 1-phosphatidyl-1D-myo-inositol(1-) [c]
CDIPT",4.0
CDS_pos,12.0,0.3939393939393939,-0.6833023588176225,0.4522313077868633,CDS,phosphatidate cytidylyltransferase,Glycerophospholipid metabolism,645,2.7.7.41,CDS1; CDS2,"1.00 * proton [c] + 1.00 * phosphatidate(2-) [c] + 1.00 * CTP [c] --> 1.00 * Diphosphate [c] + 1.00 * CDP-diacylglycerol(2-) [c]
CDS1; CDS2",4.0
CDSm_pos,28.0,0.13203463203463203,0.8266261070699549,0.17882093631157303,CDSm,phosphatidate cytidylyltransferase,Glycerophospholipid metabolism,646,2.7.7.41,CDS1; CDS2,"1.00 * proton [m] + 1.00 * CTP [m] + 1.00 * phosphatidate(2-) [m] --> 1.00 * Diphosphate [m] + 1.00 * CDP-diacylglycerol(2-) [m]
CDS1; CDS2",4.0
CERK_pos,35.0,0.004329004329004329,2.246727149940609,0.018489166126961405,CERK,Ceramide kinase,Sphingolipid metabolism,649,2.7.1.138,CERK,"1.00 * ATP [c] + 1.00 * N-acylsphingosine [c] --> 1.00 * ADP [c] + 1.00 * proton [c] + 1.00 * ceramide 1-phosphate(2-) [c]
CERK",4.0
CHAT_neg,,1.0,,1.0,CHAT,Choline O-acetyltransferase,Glycerophospholipid metabolism,657,2.3.1.6,CHAT,"1.00 * Acetyl-CoA [c] + 1.00 * Choline [c] --> 1.00 * Coenzyme A [c] + 1.00 * acetylcholine [c]
CHAT",4.0
CHAT_pos,,1.0,,1.0,CHAT,Choline O-acetyltransferase,Glycerophospholipid metabolism,657,2.3.1.6,CHAT,"1.00 * Acetyl-CoA [c] + 1.00 * Choline [c] --> 1.00 * Coenzyme A [c] + 1.00 * acetylcholine [c]
CHAT",4.0
CHATn_neg,,1.0,,1.0,CHATn,Choline O-acetyltransferase,Glycerophospholipid metabolism,658,2.3.1.6,CHAT,"1.00 * Acetyl-CoA [n] + 1.00 * Choline [n] --> 1.00 * acetylcholine [n] + 1.00 * Coenzyme A [n]
CHAT",4.0
CHATn_pos,,1.0,,1.0,CHATn,Choline O-acetyltransferase,Glycerophospholipid metabolism,658,2.3.1.6,CHAT,"1.00 * Acetyl-CoA [n] + 1.00 * Choline [n] --> 1.00 * acetylcholine [n] + 1.00 * Coenzyme A [n]
CHAT",4.0
CHLPCTD_pos,17.0,0.9372294372294373,-0.36292330309653814,0.9521502117881079,CHLPCTD,choline phosphate cytididyltransferase,Glycerophospholipid metabolism,660,2.7.7.15,PCYT1A; PCYT1B,"1.00 * proton [c] + 1.00 * CTP [c] + 1.00 * choline phosphate(1-) [c] --> 1.00 * Diphosphate [c] + 1.00 * CDPcholine [c]
PCYT1A; PCYT1B",4.0
CHOLD2m_pos,28.0,0.13203463203463203,0.7661023188008136,0.17882093631157303,CHOLD2m,"choline dehydrogenase (FAD acceptor), mitochondrial","Glycine, serine, alanine and threonine metabolism",665,1.1.99.1,CHDH,"1.00 * Flavin adenine dinucleotide oxidized [m] + 1.00 * Choline [m] --> 1.00 * Flavin adenine dinucleotide reduced [m] + 1.00 * betaine aldehyde [m]
CHDH",4.0
CHSTEROLSULT_pos,22.0,0.5887445887445888,0.3544997554501208,0.6443817938689304,CHSTEROLSULT,steroid sulfotransferase,Steroid metabolism,674,2.8.2.2,SULT1A1; SULT2B1,"1.00 * (2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-2-({[(sulfonatooxy)phosphinato]oxy}methyl)oxolan-3-yl phosphate [c] + 1.00 * cholesterol [c] --> 1.00 * proton [c] + 1.00 * adenosine 3',5'-bismonophosphate(4-) [c] + 1.00 * cholesterol sulfate [c]
SULT1A1; SULT2B1",4.0
CHTNASEe_pos,25.5,0.2529990614746843,0.6676869005286274,0.31000958041015064,CHTNASEe,"chitinase, extracellular",Aminosugar metabolism,681,3.2.1.14,CHIL5,"2.00 * Water [e] + 1.00 * chitin [e] --> 3.00 * N-acetyl-D-glucosamine [e]
CHIL5",4.0
CK_pos,36.0,0.0021645021645021645,4.655978816914037,0.014494593198296903,CK,ATP Creatine kinase,Urea cycle,689,2.7.3.2,CKMT1; CKMT2,"1.00 * ATP [m] + 1.00 * creatine [m] --> 1.00 * ADP [m] + 1.00 * N-phosphocreatinate(2-) [m]
CKMT1; CKMT2",4.0
CKc_neg,36.0,0.0021645021645021645,4.655978816914037,0.014494593198296903,CKc,ATP Creatine kinase (c),Urea cycle,690,2.7.3.2,CKB; CKM,"1.00 * ATP [c] + 1.00 * creatine [c] --> 1.00 * ADP [c] + 1.00 * N-phosphocreatinate(2-) [c]
CKB; CKM",4.0
CMPSAS_pos,36.0,0.0021645021645021645,4.135002833662244,0.014494593198296903,CMPSAS,CMP sialic acid synthase,Aminosugar metabolism,704,2.7.7.43,CMAS,"1.00 * N-acetylneuraminate [c] + 1.00 * CTP [c] --> 1.00 * Diphosphate [c] + 1.00 * CMP-N-acetyl-beta-neuraminate(2-) [c]
CMAS",2.0
CMPSASn_pos,36.0,0.0021645021645021645,4.140857967655172,0.014494593198296903,CMPSASn,"CMP sialic acid synthase, nuclear",Aminosugar metabolism,705,2.7.7.43,CMAS,"1.00 * N-acetylneuraminate [n] + 1.00 * CTP [n] --> 1.00 * CMP-N-acetyl-beta-neuraminate(2-) [n] + 1.00 * Diphosphate [n]
CMAS",2.0
CPPPGO_pos,33.0,0.015151515151515152,1.973839804272095,0.03587530451844748,CPPPGO,coproporphyrinogen oxidase (O2 required),Heme synthesis,734,1.3.3.3,CPOX,"1.00 * O2 [c] + 2.00 * proton [c] + 1.00 * Coproporphyrinogen III [c] --> 2.00 * Water [c] + 2.00 * carbon dioxide [c] + 1.00 * Protoporphyrinogen IX [c]
CPOX",2.0
CSNAT2m_pos,34.0,0.008658008658008658,2.572230717271632,0.027356785609212793,CSNAT2m,"carnitine O-aceyltransferase, mitochondrial",Fatty acid oxidation,759,2.3.1.7,CRAT,"1.00 * Coenzyme A [m] + 1.00 * propionyl-carnitine [m] --> 1.00 * Propanoyl-CoA [m] + 1.00 * L-Carnitine [m]
CRAT",4.0
CSNAT2x_neg,34.0,0.008658008658008658,1.956586524430336,0.027356785609212793,CSNAT2x,"carnitine dimethyl nonanoyl transferase, revsible, peroxisomal",Fatty acid oxidation,760,2.3.1.7,CRAT; CROT,"1.00 * L-Carnitine [x] + 1.00 * 4,8 dimethylnonanoyl-CoA [x] --> 1.00 * Coenzyme A [x] + 1.00 * 4,8-dimethylnonanoyl carnitine [x]
CRAT; CROT",4.0
CSNAT2x_pos,28.0,0.13203463203463203,0.9553747028707326,0.17882093631157303,CSNAT2x,"carnitine dimethyl nonanoyl transferase, revsible, peroxisomal",Fatty acid oxidation,760,2.3.1.7,CRAT; CROT,"1.00 * L-Carnitine [x] + 1.00 * 4,8 dimethylnonanoyl-CoA [x] --> 1.00 * Coenzyme A [x] + 1.00 * 4,8-dimethylnonanoyl carnitine [x]
CRAT; CROT",4.0
CSNAT3x_pos,33.0,0.015151515151515152,2.281698408876814,0.03587530451844748,CSNAT3x,"carnitine O-aceyltransferase, peroxisomal",Fatty acid oxidation,761,2.3.1.7,CRAT,"1.00 * L-Carnitine [x] + 1.00 * Propanoyl-CoA [x] --> 1.00 * Coenzyme A [x] + 1.00 * propionyl-carnitine [x]
CRAT",4.0
CSNATer_neg,21.0,0.6991341991341992,0.7187140835381087,0.7510586734055954,CSNATer,"carnitine O-acetyltransferase, endolasmic reticulum",Fatty acid oxidation,762,2.3.1.7,CRAT,"1.00 * Acetyl-CoA [r] + 1.00 * L-Carnitine [r] --> 1.00 * Coenzyme A [r] + 1.00 * O-acetylcarnitine [r]
CRAT",2.0
CSNATer_pos,21.0,0.6991341991341992,0.7187140835381087,0.7510586734055954,CSNATer,"carnitine O-acetyltransferase, endolasmic reticulum",Fatty acid oxidation,762,2.3.1.7,CRAT,"1.00 * Acetyl-CoA [r] + 1.00 * L-Carnitine [r] --> 1.00 * Coenzyme A [r] + 1.00 * O-acetylcarnitine [r]
CRAT",2.0
CSNATm_pos,25.0,0.30952380952380953,0.6016168846062713,0.3675771713538545,CSNATm,"carnitine O-aceyltransferase, mitochondrial",Fatty acid oxidation,763,2.3.1.7,CRAT,"1.00 * Coenzyme A [m] + 1.00 * O-acetylcarnitine [m] --> 1.00 * Acetyl-CoA [m] + 1.00 * L-Carnitine [m]
CRAT",4.0
CSNATp_neg,24.0,0.3939393939393939,0.8969755416661092,0.4522313077868633,CSNATp,"carnitine O-acetyltransferase, reverse direction, peroxisomal",Fatty acid oxidation,764,2.3.1.7,CRAT,"1.00 * Acetyl-CoA [x] + 1.00 * L-Carnitine [x] --> 1.00 * Coenzyme A [x] + 1.00 * O-acetylcarnitine [x]
CRAT",2.0
CSNATp_pos,27.0,0.17965367965367965,1.0103660639203622,0.231465914660689,CSNATp,"carnitine O-acetyltransferase, reverse direction, peroxisomal",Fatty acid oxidation,764,2.3.1.7,CRAT,"1.00 * Acetyl-CoA [x] + 1.00 * L-Carnitine [x] --> 1.00 * Coenzyme A [x] + 1.00 * O-acetylcarnitine [x]
CRAT",2.0
CSNATr_neg,21.0,0.6991341991341992,0.7187140835381087,0.7510586734055954,CSNATr,carnitine O-acetyltransferase,Fatty acid oxidation,765,2.3.1.7,CRAT,"1.00 * Acetyl-CoA [c] + 1.00 * L-Carnitine [c] --> 1.00 * Coenzyme A [c] + 1.00 * O-acetylcarnitine [c]
CRAT",4.0
CSNATr_pos,21.0,0.6991341991341992,0.7187140835381087,0.7510586734055954,CSNATr,carnitine O-acetyltransferase,Fatty acid oxidation,765,2.3.1.7,CRAT,"1.00 * Acetyl-CoA [c] + 1.00 * L-Carnitine [c] --> 1.00 * Coenzyme A [c] + 1.00 * O-acetylcarnitine [c]
CRAT",4.0
CYSTA_pos,31.0,0.04112554112554113,1.3389789888613242,0.07481446260093551,CYSTA,cysteine transaminase,Methionine and cysteine metabolism,795,2.6.1.3,GOT1,"1.00 * 2-Oxoglutarate [c] + 1.00 * L-cysteine [c] --> 1.00 * L-glutamate(1-) [c] + 1.00 * 3-mercaptopyruvate [c]
GOT1",2.0
CYSTGL_pos,36.0,0.0021645021645021645,3.2032213236073686,0.014494593198296903,CYSTGL,cystathionine g-lyase,Methionine and cysteine metabolism,798,4.4.1.1,CTH,"1.00 * Water [c] + 1.00 * L-cystathionine [c] --> 1.00 * Ammonium [c] + 1.00 * 2-Oxobutanoate [c] + 1.00 * L-cysteine [c]
CTH",4.0
CYSTS_pos,36.0,0.0021645021645021645,3.2032213236073686,0.014494593198296903,CYSTS,cystathionine beta-synthase,Methionine and cysteine metabolism,801,4.2.1.22,CBS,"1.00 * L-homocysteine [c] + 1.00 * L-serine [c] --> 1.00 * Water [c] + 1.00 * L-cystathionine [c]
CBS",4.0
CYTD_pos,34.0,0.008658008658008658,2.288222811098432,0.027356785609212793,CYTD,cytidine deaminase,Pyrimidine catabolism,803,3.5.4.5,AICDA; CDA,"1.00 * Water [c] + 1.00 * proton [c] + 1.00 * Cytidine [c] --> 1.00 * Ammonium [c] + 1.00 * Uridine [c]
AICDA; CDA",2.0
CYTDn_pos,25.0,0.30952380952380953,0.47758862058395557,0.3675771713538545,CYTDn,"cytidine deaminase, nuclear",Nucleotide interconversion,806,3.5.4.5,AICDA,"1.00 * Water [n] + 1.00 * Cytidine [n] + 1.00 * proton [n] --> 1.00 * Ammonium [n] + 1.00 * Uridine [n]
AICDA",2.0
CYTK10_neg,36.0,0.0021645021645021645,3.8393612391124408,0.014494593198296903,CYTK10,"cytidylate kinase (CMP,dGTP)",Nucleotide interconversion,813,2.7.4.14,CMPK1,"1.00 * CMP [c] + 1.00 * dGTP [c] --> 1.00 * CDP [c] + 1.00 * dGDP [c]
CMPK1",4.0
CYTK10_pos,36.0,0.0021645021645021645,3.8393612391124408,0.014494593198296903,CYTK10,"cytidylate kinase (CMP,dGTP)",Nucleotide interconversion,813,2.7.4.14,CMPK1,"1.00 * CMP [c] + 1.00 * dGTP [c] --> 1.00 * CDP [c] + 1.00 * dGDP [c]
CMPK1",4.0
CYTK10n_neg,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK10n,"cytidylate kinase (CMP,dGTP),nuclear",Nucleotide interconversion,814,2.7.4.14,CMPK1,"1.00 * CMP [n] + 1.00 * dGTP [n] --> 1.00 * CDP [n] + 1.00 * dGDP [n]
CMPK1",4.0
CYTK10n_pos,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK10n,"cytidylate kinase (CMP,dGTP),nuclear",Nucleotide interconversion,814,2.7.4.14,CMPK1,"1.00 * CMP [n] + 1.00 * dGTP [n] --> 1.00 * CDP [n] + 1.00 * dGDP [n]
CMPK1",4.0
CYTK11_neg,36.0,0.0021645021645021645,3.8393612391124408,0.014494593198296903,CYTK11,"cytidylate kinase (dCMP,dGTP)",Nucleotide interconversion,815,2.7.4.14,CMPK1,"1.00 * dGTP [c] + 1.00 * dCMP [c] --> 1.00 * dGDP [c] + 1.00 * dCDP [c]
CMPK1",4.0
CYTK11_pos,36.0,0.0021645021645021645,3.8393612391124408,0.014494593198296903,CYTK11,"cytidylate kinase (dCMP,dGTP)",Nucleotide interconversion,815,2.7.4.14,CMPK1,"1.00 * dGTP [c] + 1.00 * dCMP [c] --> 1.00 * dGDP [c] + 1.00 * dCDP [c]
CMPK1",4.0
CYTK11n_neg,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK11n,"cytidylate kinase (dCMP,dGTP),nuclear",Nucleotide interconversion,816,2.7.4.14,CMPK1,"1.00 * dGTP [n] + 1.00 * dCMP [n] --> 1.00 * dGDP [n] + 1.00 * dCDP [n]
CMPK1",4.0
CYTK11n_pos,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK11n,"cytidylate kinase (dCMP,dGTP),nuclear",Nucleotide interconversion,816,2.7.4.14,CMPK1,"1.00 * dGTP [n] + 1.00 * dCMP [n] --> 1.00 * dGDP [n] + 1.00 * dCDP [n]
CMPK1",4.0
CYTK12_neg,36.0,0.0021645021645021645,3.8393612391124408,0.014494593198296903,CYTK12,"cytidylate kinase (dCMP,dCTP)",Nucleotide interconversion,817,2.7.4.14,CMPK1,"1.00 * dCMP [c] + 1.00 * dCTP [c] --> 2.00 * dCDP [c]
CMPK1",4.0
CYTK12_pos,36.0,0.0021645021645021645,3.8393612391124408,0.014494593198296903,CYTK12,"cytidylate kinase (dCMP,dCTP)",Nucleotide interconversion,817,2.7.4.14,CMPK1,"1.00 * dCMP [c] + 1.00 * dCTP [c] --> 2.00 * dCDP [c]
CMPK1",4.0
CYTK12n_neg,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK12n,"cytidylate kinase (dCMP,dCTP),nuclear",Nucleotide interconversion,818,2.7.4.14,CMPK1,"1.00 * dCMP [n] + 1.00 * dCTP [n] --> 2.00 * dCDP [n]
CMPK1",4.0
CYTK12n_pos,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK12n,"cytidylate kinase (dCMP,dCTP),nuclear",Nucleotide interconversion,818,2.7.4.14,CMPK1,"1.00 * dCMP [n] + 1.00 * dCTP [n] --> 2.00 * dCDP [n]
CMPK1",4.0
CYTK13_neg,36.0,0.0021645021645021645,3.8393612391124408,0.014494593198296903,CYTK13,"cytidylate kinase (dCMP,dATP)",Nucleotide interconversion,819,2.7.4.14,CMPK1,"1.00 * dATP [c] + 1.00 * dCMP [c] --> 1.00 * dADP [c] + 1.00 * dCDP [c]
CMPK1",4.0
CYTK13_pos,36.0,0.0021645021645021645,3.8393612391125087,0.014494593198296903,CYTK13,"cytidylate kinase (dCMP,dATP)",Nucleotide interconversion,819,2.7.4.14,CMPK1,"1.00 * dATP [c] + 1.00 * dCMP [c] --> 1.00 * dADP [c] + 1.00 * dCDP [c]
CMPK1",4.0
CYTK13n_neg,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK13n,"cytidylate kinase (dCMP,dATP),nuclear",Nucleotide interconversion,820,2.7.4.14,CMPK1,"1.00 * dCMP [n] + 1.00 * dATP [n] --> 1.00 * dCDP [n] + 1.00 * dADP [n]
CMPK1",4.0
CYTK13n_pos,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK13n,"cytidylate kinase (dCMP,dATP),nuclear",Nucleotide interconversion,820,2.7.4.14,CMPK1,"1.00 * dCMP [n] + 1.00 * dATP [n] --> 1.00 * dCDP [n] + 1.00 * dADP [n]
CMPK1",4.0
CYTK14_neg,36.0,0.0021645021645021645,3.8393612391124408,0.014494593198296903,CYTK14,"cytidylate kinase (dCMP,UTP)",Nucleotide interconversion,821,2.7.4.14,CMPK1,"1.00 * UTP [c] + 1.00 * dCMP [c] --> 1.00 * UDP [c] + 1.00 * dCDP [c]
CMPK1",4.0
CYTK14_pos,36.0,0.0021645021645021645,3.8393612391124097,0.014494593198296903,CYTK14,"cytidylate kinase (dCMP,UTP)",Nucleotide interconversion,821,2.7.4.14,CMPK1,"1.00 * UTP [c] + 1.00 * dCMP [c] --> 1.00 * UDP [c] + 1.00 * dCDP [c]
CMPK1",4.0
CYTK14n_neg,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK14n,"cytidylate kinase (dCMP,CTP),nuclear",Nucleotide interconversion,822,2.7.4.14,CMPK1,"1.00 * dCMP [n] + 1.00 * UTP [n] --> 1.00 * dCDP [n] + 1.00 * UDP [n]
CMPK1",4.0
CYTK14n_pos,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK14n,"cytidylate kinase (dCMP,CTP),nuclear",Nucleotide interconversion,822,2.7.4.14,CMPK1,"1.00 * dCMP [n] + 1.00 * UTP [n] --> 1.00 * dCDP [n] + 1.00 * UDP [n]
CMPK1",4.0
CYTK1n_neg,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK1n,"cytidylate kinase (CMP),nuclear",Nucleotide interconversion,824,2.7.4.14,CMPK1,"1.00 * ATP [n] + 1.00 * CMP [n] --> 1.00 * CDP [n] + 1.00 * ADP [n]
CMPK1",4.0
CYTK1n_pos,36.0,0.0021645021645021645,3.84157607297762,0.014494593198296903,CYTK1n,"cytidylate kinase (CMP),nuclear",Nucleotide interconversion,824,2.7.4.14,CMPK1,"1.00 * ATP [n] + 1.00 * CMP [n] --> 1.00 * CDP [n] + 1.00 * ADP [n]
CMPK1",4.0
CYTK2n_neg,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK2n,"cytidylate kinase (dCMP),nuclear",Nucleotide interconversion,826,2.7.4.14,CMPK1,"1.00 * ATP [n] + 1.00 * dCMP [n] --> 1.00 * dCDP [n] + 1.00 * ADP [n]
CMPK1",4.0
CYTK2n_pos,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK2n,"cytidylate kinase (dCMP),nuclear",Nucleotide interconversion,826,2.7.4.14,CMPK1,"1.00 * ATP [n] + 1.00 * dCMP [n] --> 1.00 * dCDP [n] + 1.00 * ADP [n]
CMPK1",4.0
CYTK3n_neg,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK3n,"cytidylate kinase (dCMP,CTP),nuclear",Nucleotide interconversion,828,2.7.4.14,CMPK1,"1.00 * CTP [n] + 1.00 * dCMP [n] --> 1.00 * CDP [n] + 1.00 * dCDP [n]
CMPK1",4.0
CYTK3n_pos,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK3n,"cytidylate kinase (dCMP,CTP),nuclear",Nucleotide interconversion,828,2.7.4.14,CMPK1,"1.00 * CTP [n] + 1.00 * dCMP [n] --> 1.00 * CDP [n] + 1.00 * dCDP [n]
CMPK1",4.0
CYTK4n_neg,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK4n,"cytidylate kinase (dCMP,GTP),nuclear",Nucleotide interconversion,830,2.7.4.14,CMPK1,"1.00 * dCMP [n] + 1.00 * GTP [n] --> 1.00 * dCDP [n] + 1.00 * GDP [n]
CMPK1",4.0
CYTK4n_pos,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK4n,"cytidylate kinase (dCMP,GTP),nuclear",Nucleotide interconversion,830,2.7.4.14,CMPK1,"1.00 * dCMP [n] + 1.00 * GTP [n] --> 1.00 * dCDP [n] + 1.00 * GDP [n]
CMPK1",4.0
CYTK5_neg,36.0,0.0021645021645021645,3.839361239112395,0.014494593198296903,CYTK5,cytidylate kinase (dCMP),Nucleotide interconversion,831,2.7.4.14,CMPK1,"1.00 * CTP [c] + 1.00 * dCMP [c] --> 1.00 * CDP [c] + 1.00 * dCDP [c]
CMPK1",4.0
CYTK5_pos,36.0,0.0021645021645021645,3.8393612391124408,0.014494593198296903,CYTK5,cytidylate kinase (dCMP),Nucleotide interconversion,831,2.7.4.14,CMPK1,"1.00 * CTP [c] + 1.00 * dCMP [c] --> 1.00 * CDP [c] + 1.00 * dCDP [c]
CMPK1",4.0
CYTK5n_neg,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK5n,"cytidylate kinase (CMP),nuclear",Nucleotide interconversion,832,2.7.4.14,CMPK1,"1.00 * CMP [n] + 1.00 * GTP [n] --> 1.00 * CDP [n] + 1.00 * GDP [n]
CMPK1",4.0
CYTK5n_pos,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK5n,"cytidylate kinase (CMP),nuclear",Nucleotide interconversion,832,2.7.4.14,CMPK1,"1.00 * CMP [n] + 1.00 * GTP [n] --> 1.00 * CDP [n] + 1.00 * GDP [n]
CMPK1",4.0
CYTK6_neg,36.0,0.0021645021645021645,3.8393612391124408,0.014494593198296903,CYTK6,"cytidylate kinase (CMP,CTP)",Nucleotide interconversion,833,2.7.4.14,CMPK1,"1.00 * CMP [c] + 1.00 * CTP [c] --> 2.00 * CDP [c]
CMPK1",4.0
CYTK6_pos,36.0,0.0021645021645021645,3.8393612391124172,0.014494593198296903,CYTK6,"cytidylate kinase (CMP,CTP)",Nucleotide interconversion,833,2.7.4.14,CMPK1,"1.00 * CMP [c] + 1.00 * CTP [c] --> 2.00 * CDP [c]
CMPK1",4.0
CYTK6n_neg,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK6n,"cytidylate kinase (CMP,CTP),nuclear",Nucleotide interconversion,834,2.7.4.14,CMPK1,"1.00 * CTP [n] + 1.00 * CMP [n] --> 2.00 * CDP [n]
CMPK1",4.0
CYTK6n_pos,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK6n,"cytidylate kinase (CMP,CTP),nuclear",Nucleotide interconversion,834,2.7.4.14,CMPK1,"1.00 * CTP [n] + 1.00 * CMP [n] --> 2.00 * CDP [n]
CMPK1",4.0
CYTK7_neg,36.0,0.0021645021645021645,3.8393612391124528,0.014494593198296903,CYTK7,"cytidylate kinase (CMP,UTP)",Nucleotide interconversion,835,2.7.4.14,CMPK1,"1.00 * CMP [c] + 1.00 * UTP [c] --> 1.00 * UDP [c] + 1.00 * CDP [c]
CMPK1",4.0
CYTK7_pos,36.0,0.0021645021645021645,3.8393612391124203,0.014494593198296903,CYTK7,"cytidylate kinase (CMP,UTP)",Nucleotide interconversion,835,2.7.4.14,CMPK1,"1.00 * CMP [c] + 1.00 * UTP [c] --> 1.00 * UDP [c] + 1.00 * CDP [c]
CMPK1",4.0
CYTK7n_neg,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK7n,"cytidylate kinase (CMP,UTP),nuclear",Nucleotide interconversion,836,2.7.4.14,CMPK1,"1.00 * CMP [n] + 1.00 * UTP [n] --> 1.00 * CDP [n] + 1.00 * UDP [n]
CMPK1",4.0
CYTK7n_pos,36.0,0.0021645021645021645,3.8415760729776314,0.014494593198296903,CYTK7n,"cytidylate kinase (CMP,UTP),nuclear",Nucleotide interconversion,836,2.7.4.14,CMPK1,"1.00 * CMP [n] + 1.00 * UTP [n] --> 1.00 * CDP [n] + 1.00 * UDP [n]
CMPK1",4.0
CYTK8_neg,36.0,0.0021645021645021645,3.8393612391124408,0.014494593198296903,CYTK8,"cytidylate kinase (CMP,dATP)",Nucleotide interconversion,837,2.7.4.14,CMPK1,"1.00 * dATP [c] + 1.00 * CMP [c] --> 1.00 * dADP [c] + 1.00 * CDP [c]
CMPK1",4.0
